ID	Test	Gender	Age	BMI	React	Regulate
21	1.0	F	17.36	20.15	3.19	2.58
21	2.0	F	20.72	20.36	3.31	1.84
22	1.0	M	17.17	22.19	3.95	2.24
22	2.0	M	19.39	24.45	3.48	2.54
23	1.0	M	7.31	17.25	3.38	2.96
23	2.0	M	10.89	19.78	4.25	3.37
24	1.0	F	8.83	17.92	3.26	2.12
24	2.0	F	11.19	19.72	3.36	3.01
25	1.0	F	11.5	22.13	3.54	2.02
25	2.0	F	13.13	24.91	3.01	2.68
26	1.0	M	8.54	16.37	1.91	2.71
26	2.0	M	10.44	17.14	1.73	1.5
27	1.0	F	12.91	25.94	2.72	2.53
27	2.0	F	16.11	27.27	1.93	3.33
28	1.0	F	10.27	17.23	3.94	3.5
28	2.0	F	11.96	18.74	4.2	1.88
29	1.0	F	8.56	16.71	3.82	3.14
29	2.0	F	11.2	17.93	3.03	2.87
30	1.0	M	12.37	21.07	3.71	2.98
30	2.0	M	14.14	20.9	3.93	3.85
31	1.0	F	20.82	18.41	4.58	2.48
31	2.0	F	22.46	18.47	4.15	1.5
32	1.0	F	19.24	26.01	4.4	2.29
32	2.0	F	20.74	26.14	4.51	2.0
33	1.0	F	19.63	30.48	3.11	2.92
33	2.0	F	21.84	30.33	3.79	3.1
34	1.0	F	20.66	19.95	2.29	2.11
34	2.0	F	22.62	20.03	1.89	1.73
35	1.0	F	18.87	22.1	3.69	3.55
35	2.0	F	21.43	22.33	3.79	1.8
36	1.0	F	20.45	31.74	2.99	1.19
36	2.0	F	22.74	31.64	4.61	1.67
37	1.0	M	7.75	15.38	4.28	4.38
37	2.0	M	9.87	13.47	4.82	3.67
38	1.0	M	19.9	24.29	3.74	2.93
38	2.0	M	21.47	22.67	3.08	1.73
39	1.0	M	7.95	15.35	4.08	3.92
39	2.0	M	10.53	16.42	4.26	2.43
40	1.0	F	6.47	14.06	4.39	5.09
40	2.0	F	8.23	14.07	4.44	4.86
41	1.0	M	10.99	11.73	4.42	3.38
41	2.0	M	12.26	20.18	2.67	2.44
42	1.0	F	20.82	21.68	3.19	1.72
42	2.0	F	22.19	21.52	3.52	1.46
43	1.0	F	10.1	18.25	3.46	2.3
43	2.0	F	12.09	19.22	2.87	2.68
44	1.0	F	22.0	25.45	2.87	2.87
44	2.0	F	24.21	25.45	4.17	2.18
45	1.0	F	13.92	22.68	4.4	3.8
45	2.0	F	15.41	22.3	4.13	2.38
46	1.0	F	11.24	14.59	4.18	4.15
46	2.0	F	12.49	16.16	4.51	4.26
47	1.0	M	10.61	24.5	5.02	4.25
47	2.0	M	11.45	24.29	4.57	5.12
48	1.0	F	22.15	23.58	4.42	3.53
49	1.0	M	19.22	23.66	3.56	2.88
49	2.0	M	20.44	24.18	3.18	1.64
50	1.0	F	22.25	23.27	3.1	1.74
50	2.0	F	23.78	23.26	1.8	1.72
51	1.0	M	19.3	25.45	2.95	2.3
51	2.0	M	20.34	26.3	3.21	3.8
52	1.0	M	9.79	15.13	4.41	1.37
52	2.0	M	11.15	15.11	3.99	2.12
