"Acres","FamilyIncome","FamilyType","NumBedrooms","NumChildren","NumPeople","NumRooms","NumUnits","NumVehicles","NumWorkers","OwnRent","YearBuilt","HouseCosts","ElectricBill","FoodStamp","HeatingFuel","Insurance","Language","Income"
"Sub 1",67000,"Female Head",3,3,5,6,"Single detached",2,2,"Mortgage","1960-1969",700,250,"No","Oil",600,"English","Below"
"1-10",94000,"Married",3,2,4,5,"Mobile home",3,2,"Mortgage","1990-1999",460,180,"No","Other",300,"English","Below"
"Sub 1",270600,"Married",4,0,3,8,"Single detached",3,3,"Mortgage","Before 1939",3800,300,"No","Oil",800,"English","Above"
"1-10",37400,"Married",2,0,2,6,"Single detached",2,0,"Mortgage","1980-1989",850,110,"No","Oil",500,"English","Below"
"Sub 1",47000,"Married",3,0,4,5,"Single detached",2,2,"Mortgage","Before 1939",2600,500,"No","Gas",1200,"Other European","Below"
"Sub 1",75100,"Married",2,1,3,4,"Single attached",2,2,"Mortgage","1980-1989",1300,210,"No","Gas",500,"English","Below"
"Sub 1",537000,"Married",1,0,2,3,"Single attached",2,2,"Mortgage","1970-1979",1200,120,"No","Electricity",0,"English","Above"
"1-10",63800,"Married",3,4,6,5,"Single detached",3,3,"Mortgage","1990-1999",660,100,"No","Wood",650,"English","Below"
"Sub 1",58000,"Married",3,0,2,7,"Mobile home",2,1,"Mortgage","2007",550,190,"No","Electricity",460,"English","Below"
"Sub 1",123710,"Married",4,2,4,9,"Single detached",2,2,"Mortgage","1950-1959",1700,130,"No","Gas",450,"English","Below"
"Sub 1",98600,"Married",4,0,2,8,"Single detached",2,2,"Mortgage","1960-1969",990,70,"No","Gas",870,"English","Below"
"Sub 1",252010,"Married",5,4,6,11,"Single detached",3,2,"Mortgage","Before 1939",1400,80,"No","Gas",600,"English","Above"
"Sub 1",60870,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1950-1959",330,50,"No","Wood",500,"English","Below"
"Sub 1",370000,"Married",5,3,5,12,"Single detached",3,2,"Mortgage","1950-1959",3200,200,"No","Gas",1400,"Other European","Above"
"Sub 1",192000,"Married",3,1,3,9,"Single detached",2,2,"Mortgage","1950-1959",2800,100,"No","Oil",1300,"English","Above"
"Sub 1",26200,"Married",8,0,3,13,"Single attached",0,1,"Mortgage","Before 1939",4400,260,"Yes","Oil",2000,"Spanish","Below"
"Sub 1",72000,"Female Head",4,0,4,7,"Single detached",1,3,"Mortgage","Before 1939",2000,160,"No","Gas",1200,"English","Below"
"Sub 1",100020,"Male Head",4,1,2,8,"Single detached",1,1,"Mortgage","1960-1969",3000,250,"No","Oil",1200,"English","Below"
"Sub 1",44000,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1950-1959",1100,80,"No","Gas",1200,"English","Below"
"1-10",360000,"Married",5,0,2,13,"Single detached",2,1,"Mortgage","1960-1969",2800,150,"No","Oil",4000,"English","Above"
"Sub 1",172000,"Married",4,2,4,8,"Single detached",2,2,"Mortgage","2007",2200,100,"No","Gas",0,"English","Above"
"Sub 1",51800,"Married",3,0,4,6,"Single detached",4,3,"Mortgage","1940-1949",120,80,"No","Gas",650,"English","Below"
"1-10",117000,"Married",3,0,2,7,"Single detached",2,1,"Mortgage","1970-1979",960,130,"No","Wood",870,"English","Below"
"Sub 1",140200,"Married",3,1,3,5,"Single attached",2,2,"Mortgage","1990-1999",1400,140,"No","Gas",790,"Asian Pacific","Below"
"Sub 1",100000,"Married",1,1,3,3,"Single detached",2,2,"Mortgage","1980-1989",1600,110,"No","Gas",300,"English","Below"
"Sub 1",45000,"Female Head",4,0,2,11,"Single detached",2,2,"Mortgage","1960-1969",1600,200,"No","Gas",3200,"Other European","Below"
"Sub 1",79700,"Female Head",3,0,3,5,"Single detached",1,1,"Mortgage","Before 1939",650,80,"No","Gas",2400,"English","Below"
"1-10",77060,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","1990-1999",920,150,"No","Wood",180,"English","Below"
"10+",100000,"Married",3,4,6,7,"Single detached",2,2,"Mortgage","1990-1999",460,100,"No","Wood",800,"English","Below"
"Sub 1",257800,"Married",4,0,4,8,"Single detached",4,3,"Mortgage","1960-1969",1100,130,"No","Gas",2000,"English","Above"
"Sub 1",58700,"Female Head",5,0,2,10,"Single detached",1,1,"Mortgage","Before 1939",500,150,"No","Gas",900,"English","Below"
"Sub 1",26000,"Male Head",8,1,5,12,"Single detached",2,3,"Rented","1980-1989",2100,200,"No","Gas",0,"English","Below"
"1-10",57000,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1970-1979",380,130,"No","Gas",1200,"English","Below"
"Sub 1",110100,"Married",3,0,4,6,"Single detached",4,3,"Mortgage","1950-1959",960,90,"No","Gas",650,"English","Below"
"Sub 1",28000,"Male Head",2,1,3,4,"Single detached",2,1,"Mortgage","Before 1939",580,150,"No","Gas",400,"English","Below"
"1-10",89200,"Married",3,1,4,7,"Single detached",3,3,"Mortgage","Before 1939",680,100,"No","Gas",600,"English","Below"
"Sub 1",70000,"Female Head",3,1,4,5,"Single detached",1,1,"Mortgage","Before 1939",3500,100,"Yes","Gas",1400,"Asian Pacific","Below"
"Sub 1",61300,"Female Head",3,0,2,10,"Single detached",1,1,"Mortgage","Before 1939",760,60,"No","Gas",390,"English","Below"
"Sub 1",28500,"Married",8,4,8,9,"Single detached",1,1,"Mortgage","1950-1959",1800,240,"No","Gas",840,"Spanish","Below"
"Sub 1",21000,"Female Head",3,0,3,6,"Single detached",1,2,"Rented","Before 1939",880,40,"No","Gas",0,"Spanish","Below"
"10+",56000,"Married",3,0,2,7,"Single detached",3,2,"Mortgage","Before 1939",270,120,"No","Wood",970,"English","Below"
"Sub 1",90000,"Married",3,0,2,7,"Single attached",2,0,"Outright","1990-1999",260,100,"No","Gas",900,"English","Below"
"Sub 1",79000,"Married",3,0,3,6,"Single detached",2,2,"Mortgage","1970-1979",2100,70,"No","Gas",1100,"English","Below"
"Sub 1",58500,"Married",4,0,2,8,"Single detached",2,2,"Mortgage","Before 1939",510,80,"No","Oil",500,"English","Below"
"Sub 1",176600,"Married",4,0,3,8,"Single detached",3,3,"Mortgage","1970-1979",2000,150,"No","Gas",1600,"English","Above"
"Sub 1",113000,"Married",4,1,3,6,"Single detached",2,2,"Mortgage","1940-1949",3500,260,"No","Gas",1700,"Other European","Below"
"10+",144800,"Married",4,2,4,9,"Single detached",1,2,"Mortgage","Before 1939",1700,240,"No","Wood",1100,"English","Below"
"10+",169400,"Married",3,2,4,7,"Single detached",4,2,"Mortgage","1980-1989",1500,130,"No","Wood",1500,"Spanish","Above"
"Sub 1",17950,"Female Head",2,0,2,6,"Single detached",1,2,"Mortgage","1940-1949",540,40,"Yes","Gas",480,"English","Below"
"Sub 1",39000,"Married",3,0,2,10,"Single detached",1,0,"Mortgage","Before 1939",900,20,"No","Gas",600,"English","Below"
"1-10",82700,"Married",3,0,2,8,"Mobile home",3,1,"Mortgage","1990-1999",650,190,"No","Oil",800,"English","Below"
"Sub 1",92660,"Married",3,0,2,6,"Single detached",0,1,"Mortgage","Before 1939",60,160,"No","Gas",0,"English","Below"
"Sub 1",94000,"Married",3,2,4,6,"Single detached",2,2,"Mortgage","Before 1939",670,40,"No","Electricity",600,"English","Below"
"Sub 1",855000,"Married",3,3,5,8,"Single detached",2,1,"Mortgage","1970-1979",6500,300,"No","Gas",1200,"English","Above"
"Sub 1",61000,"Male Head",3,0,2,8,"Single detached",2,1,"Mortgage","1950-1959",1200,250,"No","Oil",1200,"Other European","Below"
"Sub 1",52000,"Married",5,1,3,10,"Single detached",3,1,"Mortgage","1950-1959",3300,60,"No","Oil",1500,"English","Below"
"Sub 1",73800,"Female Head",4,2,3,7,"Single detached",1,2,"Mortgage","Before 1939",2000,200,"No","Gas",1000,"English","Below"
"1-10",34560,"Male Head",3,1,3,7,"Single detached",3,1,"Mortgage","1960-1969",680,130,"No","Electricity",520,"English","Below"
"1-10",338700,"Married",3,2,4,6,"Single detached",6,2,"Mortgage","1960-1969",760,230,"No","Gas",420,"English","Above"
"Sub 1",45000,"Married",3,0,2,7,"Single detached",2,1,"Mortgage","1970-1979",2000,90,"No","Gas",770,"Spanish","Below"
"Sub 1",144000,"Married",2,1,3,6,"Single detached",1,2,"Mortgage","Before 1939",2400,290,"No","Gas",1400,"Spanish","Below"
"1-10",57700,"Married",3,0,3,8,"Single detached",2,0,"Mortgage","Before 1939",500,100,"No","Oil",800,"English","Below"
"Sub 1",58300,"Married",2,0,3,8,"Single detached",1,3,"Mortgage","1940-1949",1200,200,"Yes","Oil",1400,"English","Below"
"Sub 1",92500,"Married",3,2,4,7,"Single detached",3,2,"Mortgage","1950-1959",1800,200,"No","Gas",0,"English","Below"
"Sub 1",30000,"Female Head",2,0,2,5,"Single attached",1,1,"Mortgage","Before 1939",2100,80,"No","Gas",1500,"English","Below"
"Sub 1",111000,"Married",3,2,4,9,"Single attached",6,3,"Mortgage","Before 1939",1700,300,"No","Gas",1500,"English","Below"
"1-10",64000,"Married",4,0,2,8,"Single detached",2,0,"Mortgage","1970-1979",510,130,"No","Gas",600,"English","Below"
"Sub 1",45100,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1940-1949",1800,100,"No","Gas",830,"English","Below"
"Sub 1",53400,"Married",3,2,4,4,"Single detached",2,2,"Mortgage","2000-2004",640,120,"No","Other",900,"English","Below"
"1-10",607000,"Married",8,2,4,10,"Single detached",3,2,"Mortgage","2000-2004",6500,160,"No","Gas",2900,"Asian Pacific","Above"
"Sub 1",53000,"Married",5,2,4,13,"Single detached",2,1,"Mortgage","2000-2004",1600,160,"No","Gas",1000,"English","Below"
"1-10",94000,"Married",5,2,4,10,"Single detached",2,2,"Mortgage","Before 1939",1500,80,"No","Gas",1200,"English","Below"
"Sub 1",87050,"Female Head",3,1,2,6,"Single detached",1,2,"Mortgage","1960-1969",1600,100,"No","Gas",500,"English","Below"
"Sub 1",50000,"Female Head",3,0,2,6,"Single detached",2,1,"Mortgage","Before 1939",700,80,"No","Gas",500,"English","Below"
"Sub 1",11500,"Married",5,0,2,8,"Single detached",1,0,"Mortgage","Before 1939",860,160,"No","Oil",700,"English","Below"
"Sub 1",122500,"Married",4,0,3,10,"Single detached",3,3,"Mortgage","Before 1939",680,30,"No","Gas",600,"English","Below"
"Sub 1",193000,"Married",3,0,2,6,"Single detached",3,2,"Mortgage","1950-1959",2600,210,"No","Gas",2300,"English","Above"
"Sub 1",140300,"Married",4,3,5,8,"Single attached",2,2,"Mortgage","1940-1949",2200,420,"No","Gas",2000,"English","Below"
"Sub 1",19800,"Female Head",4,1,2,7,"Single detached",1,1,"Mortgage","Before 1939",450,150,"Yes","Gas",500,"English","Below"
"1-10",86000,"Married",3,0,3,7,"Single detached",3,1,"Mortgage","1970-1979",500,200,"No","Wood",1000,"English","Below"
"Sub 1",196500,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",3000,150,"No","Gas",3000,"English","Above"
"Sub 1",87300,"Married",5,0,3,9,"Single detached",2,0,"Mortgage","Before 1939",1200,120,"No","Gas",1400,"Spanish","Below"
"1-10",118100,"Married",4,0,5,11,"Single detached",4,2,"Mortgage","1970-1979",1200,300,"No","Gas",1500,"English","Below"
"Sub 1",201300,"Married",3,1,4,9,"Single detached",2,3,"Mortgage","1990-1999",2700,250,"No","Gas",3600,"English","Above"
"Sub 1",166000,"Married",3,0,3,8,"Single attached",4,3,"Mortgage","1950-1959",1700,100,"No","Gas",850,"English","Above"
"Sub 1",111000,"Married",3,2,4,6,"Single detached",3,2,"Mortgage","1940-1949",600,200,"No","Gas",500,"English","Below"
"Sub 1",112800,"Married",3,1,3,6,"Single detached",2,2,"Mortgage","1960-1969",760,240,"No","Gas",450,"English","Below"
"1-10",10000,"Married",2,1,3,5,"Mobile home",2,1,"Rented","1990-1999",350,80,"Yes","Electricity",0,"English","Below"
"Sub 1",147000,"Married",4,0,2,10,"Single detached",2,2,"Mortgage","1960-1969",2800,360,"No","Gas",2000,"English","Below"
"Sub 1",68100,"Married",4,1,5,6,"Single detached",2,1,"Mortgage","1960-1969",2700,80,"No","Oil",1300,"Other European","Below"
"Sub 1",42000,"Female Head",3,0,4,8,"Single detached",3,1,"Mortgage","1960-1969",4000,250,"No","Gas",750,"Spanish","Below"
"Sub 1",60800,"Married",3,2,4,7,"Single detached",2,1,"Rented","1960-1969",750,200,"No","Oil",0,"English","Below"
"Sub 1",49600,"Married",4,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",2000,180,"No","Gas",1000,"Asian Pacific","Below"
"Sub 1",153000,"Married",3,0,4,10,"Single detached",0,3,"Mortgage","1950-1959",1400,250,"No","Gas",1200,"English","Above"
"Sub 1",77000,"Married",3,1,3,6,"Single detached",2,2,"Mortgage","1950-1959",910,280,"No","Gas",700,"English","Below"
"Sub 1",22330,"Married",3,2,4,7,"Single detached",2,2,"Rented","1980-1989",110,200,"No","Oil",0,"English","Below"
"Sub 1",37600,"Married",2,0,2,6,"Single detached",2,0,"Mortgage","Before 1939",360,40,"No","Gas",490,"English","Below"
"1-10",120000,"Married",2,0,2,4,"Single detached",2,2,"Mortgage","1990-1999",750,130,"No","Electricity",800,"English","Below"
"Sub 1",127600,"Married",3,0,4,6,"Single detached",1,3,"Mortgage","1940-1949",1700,290,"No","Oil",1200,"English","Below"
"1-10",67000,"Married",4,0,2,8,"Single detached",2,2,"Mortgage","Before 1939",1200,50,"No","Oil",1500,"English","Below"
"Sub 1",74120,"Female Head",2,0,3,5,"Single attached",1,1,"Mortgage","Before 1939",1800,60,"No","Gas",2000,"English","Below"
"Sub 1",220350,"Married",4,2,5,8,"Single detached",4,3,"Mortgage","1970-1979",1500,380,"No","Oil",1200,"Spanish","Above"
"Sub 1",148800,"Married",4,3,5,8,"Single detached",2,2,"Mortgage","2007",1500,300,"No","Electricity",800,"English","Below"
"1-10",64000,"Male Head",4,0,3,7,"Single detached",2,1,"Mortgage","Before 1939",1200,110,"No","Oil",100,"English","Below"
"Sub 1",158000,"Married",4,0,4,7,"Single detached",4,3,"Mortgage","1960-1969",900,150,"No","Gas",1300,"English","Above"
"Sub 1",67200,"Married",3,1,3,7,"Single detached",2,2,"Mortgage","1960-1969",1200,110,"No","Oil",1800,"English","Below"
"1-10",103500,"Married",3,0,3,7,"Single detached",0,3,"Mortgage","1950-1959",360,110,"No","Gas",590,"English","Below"
"Sub 1",157000,"Married",4,1,3,7,"Single detached",2,2,"Mortgage","1960-1969",1600,160,"No","Gas",640,"Other European","Above"
"Sub 1",80400,"Married",2,0,3,4,"Single attached",0,1,"Mortgage","Before 1939",1200,200,"No","Oil",800,"English","Below"
"10+",51600,"Married",2,0,2,6,"Single detached",2,1,"Mortgage","2000-2004",980,70,"No","Gas",880,"English","Below"
"Sub 1",124000,"Married",2,0,2,6,"Single attached",2,1,"Outright","1980-1989",700,280,"No","Electricity",1200,"English","Below"
"Sub 1",127000,"Female Head",4,0,4,9,"Single detached",2,2,"Mortgage","Before 1939",3400,80,"No","Gas",0,"Other European","Below"
"Sub 1",125000,"Married",3,2,4,7,"Single detached",2,2,"Mortgage","1980-1989",1400,100,"No","Gas",780,"English","Below"
"Sub 1",51400,"Female Head",3,0,3,8,"Single detached",2,1,"Mortgage","Before 1939",960,70,"Yes","Gas",300,"English","Below"
"1-10",19900,"Male Head",3,1,2,4,"Mobile home",1,0,"Mortgage","1990-1999",530,90,"Yes","Gas",390,"English","Below"
"Sub 1",523500,"Married",4,1,3,7,"Single detached",2,1,"Mortgage","1990-1999",950,160,"No","Oil",1100,"Spanish","Above"
"Sub 1",60000,"Married",4,2,4,7,"Single detached",2,1,"Mortgage","2005",3200,230,"No","Gas",390,"English","Below"
"1-10",99300,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1980-1989",840,30,"No","Coal",450,"English","Below"
"Sub 1",134000,"Married",4,3,6,12,"Single detached",3,3,"Mortgage","Before 1939",680,350,"No","Gas",650,"English","Below"
"Sub 1",135000,"Female Head",4,0,4,8,"Single detached",2,3,"Mortgage","Before 1939",640,210,"No","Gas",850,"English","Below"
"Sub 1",92300,"Married",3,0,2,7,"Single detached",2,1,"Mortgage","1950-1959",700,30,"No","Gas",460,"English","Below"
"Sub 1",123000,"Female Head",3,0,4,7,"Single detached",2,3,"Mortgage","Before 1939",3100,200,"No","Gas",3400,"English","Below"
"Sub 1",15000,"Married",3,0,2,6,"Single detached",1,1,"Mortgage","Before 1939",1600,300,"No","Gas",2000,"Spanish","Below"
"Sub 1",93450,"Married",4,0,4,7,"Single detached",4,3,"Mortgage","Before 1939",260,120,"No","Wood",550,"English","Below"
"Sub 1",93600,"Married",3,0,3,5,"Single detached",3,1,"Mortgage","1940-1949",1200,210,"No","Oil",0,"Spanish","Below"
"Sub 1",120000,"Married",3,1,3,7,"Single detached",2,2,"Mortgage","1950-1959",1600,170,"No","Gas",2000,"English","Below"
"1-10",104000,"Married",3,0,3,8,"Single detached",3,3,"Mortgage","Before 1939",250,120,"No","Gas",500,"English","Below"
"Sub 1",272000,"Married",4,2,6,10,"Single detached",4,3,"Mortgage","1970-1979",4000,150,"No","Oil",2600,"Other European","Above"
"Sub 1",132400,"Married",3,0,5,6,"Single detached",1,3,"Mortgage","1940-1949",2300,140,"No","Gas",380,"English","Below"
"Sub 1",110130,"Male Head",3,0,3,9,"Single detached",2,2,"Mortgage","1950-1959",4000,150,"No","Gas",1000,"Asian Pacific","Below"
"Sub 1",22000,"Female Head",2,0,3,5,"Single attached",0,2,"Rented","1980-1989",1400,60,"Yes","None",0,"English","Below"
"Sub 1",18200,"Female Head",4,3,4,6,"Single detached",1,1,"Mortgage","1940-1949",850,100,"Yes","Gas",440,"English","Below"
"1-10",65000,"Female Head",4,2,3,9,"Single detached",2,1,"Mortgage","2000-2004",2100,200,"No","Gas",400,"Other European","Below"
"Sub 1",81500,"Married",4,0,5,8,"Single detached",2,3,"Rented","1970-1979",3700,580,"No","Gas",0,"Other European","Below"
"1-10",70100,"Female Head",3,0,2,7,"Single detached",3,1,"Mortgage","Before 1939",600,170,"No","Oil",630,"English","Below"
"1-10",61430,"Married",3,1,3,8,"Single detached",2,1,"Mortgage","Before 1939",1970,130,"No","Oil",760,"English","Below"
"1-10",31100,"Female Head",2,0,2,5,"Single detached",1,2,"Mortgage","1950-1959",460,80,"Yes","Gas",500,"English","Below"
"1-10",44100,"Married",4,0,2,8,"Single detached",2,2,"Mortgage","Before 1939",300,80,"No","Wood",600,"English","Below"
"Sub 1",111700,"Female Head",3,0,4,7,"Single detached",2,2,"Mortgage","Before 1939",600,230,"No","Gas",1300,"English","Below"
"1-10",163000,"Married",3,0,3,7,"Single detached",6,3,"Mortgage","1980-1989",1100,130,"No","Oil",970,"English","Above"
"Sub 1",77000,"Female Head",4,2,3,7,"Single detached",1,1,"Mortgage","Before 1939",820,80,"No","Gas",600,"English","Below"
"Sub 1",230000,"Married",3,0,2,6,"Single detached",3,2,"Mortgage","1970-1979",3200,100,"No","Gas",1200,"Other European","Above"
"Sub 1",138000,"Married",3,3,5,6,"Single detached",2,2,"Mortgage","1950-1959",2900,180,"No","Gas",1500,"Other","Below"
"Sub 1",145000,"Married",3,2,4,7,"Single detached",2,2,"Mortgage","2000-2004",1600,250,"No","Gas",600,"Spanish","Below"
"Sub 1",75600,"Married",3,3,6,7,"Single detached",2,3,"Mortgage","Before 1939",2400,150,"No","Oil",1300,"Spanish","Below"
"Sub 1",41200,"Female Head",3,1,2,6,"Single detached",1,1,"Mortgage","Before 1939",530,40,"No","Gas",630,"English","Below"
"Sub 1",103500,"Married",3,0,3,5,"Single attached",1,3,"Mortgage","1980-1989",3200,160,"No","Gas",1200,"Spanish","Below"
"10+",1125,"Married",5,2,4,12,"Single detached",3,3,"Mortgage","1970-1979",1500,150,"No","Wood",950,"English","Below"
"1-10",80000,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1970-1979",1400,170,"No","Wood",600,"English","Below"
"Sub 1",70000,"Female Head",3,1,3,5,"Single attached",1,1,"Mortgage","1950-1959",2900,300,"No","Oil",1800,"English","Below"
"Sub 1",16400,"Female Head",1,0,2,4,"Single detached",0,1,"Rented","1940-1949",50,60,"Yes","Gas",0,"English","Below"
"1-10",68000,"Married",2,0,2,7,"Single detached",2,1,"Mortgage","1960-1969",710,60,"No","Oil",2500,"English","Below"
"Sub 1",84100,"Married",3,0,2,5,"Single attached",2,2,"Mortgage","2006",900,90,"No","Gas",500,"English","Below"
"Sub 1",125480,"Married",3,3,5,6,"Single detached",2,2,"Mortgage","Before 1939",750,170,"No","Gas",500,"English","Below"
"Sub 1",108000,"Male Head",4,2,6,7,"Single detached",4,1,"Mortgage","1950-1959",1800,180,"Yes","Oil",1500,"Asian Pacific","Below"
"Sub 1",75000,"Married",4,0,2,8,"Single detached",2,1,"Mortgage","1980-1989",1200,420,"No","Gas",1200,"Other","Below"
"Sub 1",99500,"Male Head",3,0,4,5,"Single detached",2,1,"Mortgage","Before 1939",620,210,"No","Gas",860,"English","Below"
"Sub 1",110000,"Married",4,3,5,8,"Single detached",2,1,"Rented","2006",3000,320,"No","Oil",0,"Other European","Below"
"1-10",145000,"Married",3,2,4,9,"Single detached",2,2,"Mortgage","1970-1979",3200,250,"No","Oil",0,"English","Below"
"Sub 1",160250,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1940-1949",1400,130,"No","Oil",800,"English","Above"
"Sub 1",56030,"Married",2,0,2,5,"Single attached",2,1,"Mortgage","1940-1949",1300,180,"No","Oil",1300,"English","Below"
"Sub 1",123000,"Married",4,1,3,7,"Single detached",2,2,"Mortgage","1950-1959",2100,150,"No","Oil",2000,"Other European","Below"
"Sub 1",64980,"Married",3,0,4,7,"Single detached",1,2,"Mortgage","1950-1959",2400,180,"No","Gas",920,"English","Below"
"Sub 1",121000,"Married",3,0,2,8,"Single detached",2,2,"Mortgage","Before 1939",1900,180,"No","Gas",800,"English","Below"
"Sub 1",73800,"Married",2,0,2,8,"Single detached",1,0,"Mortgage","1980-1989",70,290,"No","Electricity",780,"English","Below"
"Sub 1",102500,"Married",8,3,12,10,"Single attached",2,3,"Mortgage","1940-1949",440,300,"Yes","Oil",300,"Spanish","Below"
"Sub 1",62000,"Married",3,2,4,5,"Single detached",1,2,"Mortgage","1960-1969",900,400,"No","Electricity",400,"English","Below"
"Sub 1",170000,"Married",3,0,2,10,"Single detached",2,2,"Mortgage","1940-1949",1800,200,"No","Gas",600,"English","Above"
"Sub 1",200500,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","Before 1939",1000,200,"No","Gas",900,"Spanish","Above"
"Sub 1",156400,"Married",5,0,3,11,"Single detached",3,2,"Mortgage","1960-1969",2000,250,"No","Gas",1300,"Other European","Above"
"Sub 1",96600,"Married",3,1,4,6,"Single detached",3,3,"Mortgage","Before 1939",900,150,"No","Gas",600,"English","Below"
"Sub 1",158400,"Married",4,0,2,9,"Single detached",2,1,"Mortgage","Before 1939",3800,100,"No","Oil",2200,"English","Above"
"Sub 1",160000,"Married",3,0,2,4,"Single detached",2,2,"Mortgage","2006",1400,50,"No","Gas",400,"English","Above"
"1-10",67700,"Married",4,0,2,6,"Single detached",2,0,"Mortgage","1960-1969",600,80,"No","Wood",900,"English","Below"
"Sub 1",80000,"Married",3,2,4,8,"Single detached",3,2,"Mortgage","1950-1959",2900,250,"No","Oil",1600,"English","Below"
"Sub 1",110000,"Married",4,1,4,12,"Single detached",3,2,"Mortgage","Before 1939",850,200,"No","Oil",300,"English","Below"
"Sub 1",118000,"Married",1,1,3,5,"Single detached",3,2,"Mortgage","1950-1959",500,200,"No","Oil",200,"English","Below"
